\,SWC Type(s),Path length (µm)
Root centroid [L:0.000µm],Undefined,0.0
Path (1) [L:105.005µm],Axon,105.0048195534093
Path (2) [L:3.430µm] {secondary-neurite},Undefined,3.4303896081810223
Path (3) [L:5.882µm] {secondary-neurite},Undefined,5.881693116294417
Path (4) [L:5.430µm] {secondary-neurite},Undefined,5.4303896081810565
Path (5) [L:6.695µm] {secondary-neurite},Undefined,6.695093791412854
Path (6) [L:5.017µm] {secondary-neurite},Undefined,5.016988933062598
Path (7) [L:8.135µm] {secondary-neurite},Undefined,8.134959107842635
Path (8) [L:14.462µm] {secondary-neurite},Undefined,14.462404990871377
Path (9) [L:5.739µm],(Basal) Dendrite,5.738884074712346
Path (10) [L:7.303µm],(Basal) Dendrite,7.302607016226743
Path (11) [L:4.828µm],(Basal) Dendrite,4.828427124746192
Path (12) [L:9.202µm],(Basal) Dendrite,9.201625774509301
Path (13) [L:5.983µm],(Basal) Dendrite,5.982674358011842
Path (14) [L:6.507µm],(Basal) Dendrite,6.506531983096447
Path (15) [L:61.728µm],(Basal) Dendrite,61.72806153076135
Path (16) [L:13.083µm],(Basal) Dendrite,13.083318890803692
Path (17) [L:4.663µm],(Basal) Dendrite,4.662741699796954
