\,SWC Type(s),Path length (µm),
Root centroid [L:0.000µm],Undefined,0,neurites
Path (1) [L:100.039µm],Axon,100.0391341,100.0391341
Path (7) [L:3.118µm] {secondary-neurite},Undefined,3.117970175,4.2627417
Path (8) [L:4.737µm] {secondary-neurite},Undefined,4.736921591,1.255228475
Path (9) [L:3.651µm] {secondary-neurite},Undefined,3.651303508,18.09083212
Path (10) [L:4.851µm] {secondary-neurite},Undefined,4.851303508,2.2209139
Path (11) [L:4.484µm] {secondary-neurite},Undefined,4.4836556,2.598037517
Path (12) [L:3.908µm] {secondary-neurite},Undefined,3.908494467,11.82809042
Path (13) [L:4.230µm] {secondary-neurite},Undefined,4.230389608,2.887580567
Path (14) [L:4.608µm] {secondary-neurite},Undefined,4.607513225,
Path (15) [L:2.630µm] {secondary-neurite},Undefined,2.630389608,
Path (16) [L:2.676µm] {secondary-neurite},Undefined,2.676142375,
Path (17) [L:3.918µm] {secondary-neurite},Undefined,3.917970175,
Path (18) [L:1.821µm] {secondary-neurite},Undefined,1.8209139,
Path (19) [L:2.819µm] {secondary-neurite},Undefined,2.818951416,
Path (20) [L:4.162µm] {secondary-neurite},Undefined,4.161760458,
Path (21) [L:1.554µm] {secondary-neurite},Undefined,1.554247233,
Path (22) [L:4.208µm] {secondary-neurite},Undefined,4.207513225,
Path (23) [L:3.651µm] {secondary-neurite},Undefined,3.651303508,
Path (24) [L:3.918µm] {secondary-neurite},Undefined,3.917970175,
Path (25) [L:2.198µm] {secondary-neurite},Undefined,2.198037517,
Path (26) [L:1.421µm] {secondary-neurite},Undefined,1.4209139,
Path (27) [L:1.554µm] {secondary-neurite},Undefined,1.554247233,
Path (28) [L:11.474µm] {secondary-neurite},Undefined,11.47384318,
Path (29) [L:5.693µm] {secondary-neurite},Undefined,5.693131308,
Path (30) [L:5.596µm] {secondary-neurite},Undefined,5.596075033,
Path (31) [L:3.808µm] {secondary-neurite},Undefined,3.807513225,
Path (32) [L:4.263µm],(Basal) Dendrite,4.2627417,
Path (33) [L:1.255µm],(Basal) Dendrite,1.255228475,
Path (34) [L:18.091µm],(Basal) Dendrite,18.09083212,
Path (35) [L:2.221µm],(Basal) Dendrite,2.2209139,
Path (36) [L:2.598µm],(Basal) Dendrite,2.598037517,
Path (37) [L:11.828µm],(Basal) Dendrite,11.82809042,
Path (38) [L:2.888µm],(Basal) Dendrite,2.887580567,
