"","X.","path_length_microns","date","cell","condition","timepoint"
"1","Cell 1 rooted in Root centroid",NA,"plated_03-06-23","WT","wt_000","1"
"2","Root centroid",0,"plated_03-06-23","WT","wt_000","1"
"3","Root centroid",0,"plated_03-06-23","WT","wt_000","1"
"4","Path (1)",22.26044251,"plated_03-06-23","WT","wt_000","1"
"5","Path (5)",4.0418278,"plated_03-06-23","WT","wt_000","1"
"6","Path (6)",1.4209139,"plated_03-06-23","WT","wt_000","1"
"7","Path (2)",2.464704183,"plated_03-06-23","WT","wt_000","1"
"8","Path (3)",1.609475708,"plated_03-06-23","WT","wt_000","1"
"9","Path (4)",12.9254834,"plated_03-06-23","WT","wt_000","1"
"10","Path (1) [L:49.600µm]",49.6002789388072,"plated_03-06-23","WT","wt_001","1"
"11","Path (2) [L:6.360µm]",6.35979797464468,"plated_03-06-23","WT","wt_001","1"
"12","Path (3) [L:3.320µm]",3.31993265821489,"plated_03-06-23","WT","wt_001","1"
"13","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_001","1"
"14"," ",NA,"plated_03-06-23","WT","wt_001","1"
"15","Mean",14.8200023929167,"plated_03-06-23","WT","wt_001","1"
"16","SD",23.3318578359906,"plated_03-06-23","WT","wt_001","1"
"17","N",4,"plated_03-06-23","WT","wt_001","1"
"18","Min",0,"plated_03-06-23","WT","wt_001","1"
"19","Max",49.6002789388072,"plated_03-06-23","WT","wt_001","1"
"20","Sum",59.2800095716667,"plated_03-06-23","WT","wt_001","1"
"21"," ",NA,"plated_03-06-23","WT","wt_001","1"
"22","Cell 1 rooted in Root centroid [L:0.000µm]",NA,"plated_03-06-23","WT","wt_003","1"
"23","Path (1) [L:20.567µm]",20.5673111994585,"plated_03-06-23","WT","wt_003","1"
"24","Path (3) [L:3.651µm]",3.65130350811337,"plated_03-06-23","WT","wt_003","1"
"25","Path (4) [L:1.099µm]",1.09901875828257,"plated_03-06-23","WT","wt_003","1"
"26","Path (5) [L:4.474µm]",4.47417989148054,"plated_03-06-23","WT","wt_003","1"
"27","Path (6) [L:2.120µm]",2.11993265821489,"plated_03-06-23","WT","wt_003","1"
"28","Path (7) [L:1.798µm]",1.79803751656515,"plated_03-06-23","WT","wt_003","1"
"29","Path (8) [L:8.451µm]",8.45130350811336,"plated_03-06-23","WT","wt_003","1"
"30","Path (10) [L:1.766µm]",1.76568542494924,"plated_03-06-23","WT","wt_003","1"
"31","Path (11) [L:15.161µm]",15.161423749154,"plated_03-06-23","WT","wt_003","1"
"32","Path (12) [L:6.985µm]",6.98463684144669,"plated_03-06-23","WT","wt_003","1"
"33","Path (16) [L:2.143µm]",2.14280904158206,"plated_03-06-23","WT","wt_003","1"
"34","Cell 1 rooted in Root centroid [L:0.000µm]",NA,"plated_03-06-23","WT","wt_004","1"
"35","Path (1) [L:67.981µm]",67.9813275223095,"plated_03-06-23","WT","wt_004","1"
"36","Path (2) [L:16.268µm]",16.268292441176,"plated_03-06-23","WT","wt_004","1"
"37","Path (3) [L:5.238µm]",5.23790283299492,"plated_03-06-23","WT","wt_004","1"
"38","Path (4) [L:8.925µm]",8.92548339959391,"plated_03-06-23","WT","wt_004","1"
