\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],No. of branch points [Single value],No. of paths [Single value],No. of primary branches [Single value],SWC Type(s),Path length (µm)
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0
Path (1) [L:30.580µm],null,null,null,null,null,null,null,null,null,Undefined,30.58003846
Path (2) [L:3.030µm],null,null,null,null,null,null,null,null,null,Undefined,3.030389608
Path (3) [L:4.529µm],null,null,null,null,null,null,null,null,null,Undefined,4.529408366
Path (4) [L:1.964µm],null,null,null,null,null,null,null,null,null,Undefined,1.963722942
Path (5) [L:1.798µm],null,null,null,null,null,null,null,null,null,Undefined,1.798037517
Path (6) [L:3.508µm],null,null,null,null,null,null,null,null,null,Undefined,3.508494467
Path (7) [L:1.798µm],null,null,null,null,null,null,null,null,null,Undefined,1.798037517
Path (8) [L:3.086µm],null,null,null,null,null,null,null,null,null,Undefined,3.085618083
Path (9) [L:5.482µm],null,null,null,null,null,null,null,null,null,Undefined,5.481693116
Path (10) [L:2.244µm],null,null,null,null,null,null,null,null,null,Undefined,2.243790283
Path (11) [L:1.343µm],null,null,null,null,null,null,null,null,null,Undefined,1.342809042
Path (12) [L:0.699µm],null,null,null,null,null,null,null,null,null,Undefined,0.699018758
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0
