\,SWC Type(s),Path length (µm)
Path (1),Axon,41.41794128972078
Path (2),(Basal) Dendrite,24.57841268221653
Path (3),(Basal) Dendrite,13.72155843272418
Path (4),(Basal) Dendrite,12.793775840769863
Path (5),(Basal) Dendrite,6.893131307977986
Path (6),(Basal) Dendrite,6.148359782961068
Path (7),(Basal) Dendrite,9.10456949966159
Path (8),(Basal) Dendrite,5.540846558147217
Path (9),(Basal) Dendrite,7.481693116294393
Path (10),(Basal) Dendrite,4.883655599729266
Path (11),(Basal) Dendrite,5.8856180831641325
Path (12),(Basal) Dendrite,24.722847498307956
Path (13),(Basal) Dendrite,5.3941125496954285
Root centroid,Axon,0.0
