\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],Length of longest shortest path (µm) [Single value],Length of primary branches (µm) [Min],Length of primary branches (µm) [Max],Length of primary branches (µm) [Mean],Length of primary branches (µm) [SD],Length of primary branches (µm) [Sum],Length of primary branches (µm) [N],No. of paths [Single value],No. of primary branches [Single value],Path channel [Min],Path channel [Max],Path channel [Mean],Path channel [SD],Path channel [Sum],Path channel [N],Path length (µm) [Min],Path length (µm) [Max],Path length (µm) [Mean],Path length (µm) [SD],Path length (µm) [Sum],Path length (µm) [N],Sholl: No. maxima [Single value],No. of compartments,SWC Type(s),Path length (µm)
Cell 1 rooted in Root centroid,0.188561808,26.78200094,6.74889207,6.876058339,188.9689779,28,36.30469345,3.439053098,11.67285099,7.445666616,3.008879476,44.6739997,6,18,6,3,3,3,0,54,18,0,28.73624817,9.018583714,9.874993942,162.3345069,18,1,3,null,null
Path (1),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Axon,28.73624817
Path (2),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,22.58233765
Path (3),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,1.043790283
Path (4),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,3.251303508
Path (5),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,8.493131308
Path (6),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,27.42579122
Path (7),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,1.719932658
Path (8),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,0.666666667
Path (9),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,17.04541606
Path (10),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,0.699018758
Path (11),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,2.529408366
Path (12),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,2.8418278
Path (13),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,20.16501201
Path (14),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,2.676142375
Path (15),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,13.3254834
Path (16),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,6.580711875
Path (17),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,2.55228475
Root centroid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Axon,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neurites,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.73624817,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.58233765,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.043790283,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.251303508,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.493131308,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.42579122,,
