"","Path length (µm) [Min]","Path length (µm) [Max]","Path length (µm) [Mean]","Path length (µm) [SD]","Path length (µm) [Sum]","Path length (µm) [N]","Path length (µm)","date","cell","condition","timepoint"
"1","0","22.26044251","6.388978214","8.20449745","44.7228475","7","null","plated_03-06-23","wt_000","WT","1"
"2","null","null","null","null","null","null","0","plated_03-06-23","wt_000","WT","1"
"3","null","null","null","null","null","null","0","plated_03-06-23","wt_000","WT","1"
"4","null","null","null","null","null","null","22.26044251","plated_03-06-23","wt_000","WT","1"
"5","null","null","null","null","null","null","4.0418278","plated_03-06-23","wt_000","WT","1"
"6","null","null","null","null","null","null","1.4209139","plated_03-06-23","wt_000","WT","1"
"7","null","null","null","null","null","null","2.464704183","plated_03-06-23","wt_000","WT","1"
"8","null","null","null","null","null","null","1.609475708","plated_03-06-23","wt_000","WT","1"
"9","null","null","null","null","null","null","12.9254834","plated_03-06-23","wt_000","WT","1"
"10",NA,NA,NA,NA,NA,NA,"49.60027893880717","plated_03-06-23","wt_001","WT","1"
"11",NA,NA,NA,NA,NA,NA,"6.359797974644677","plated_03-06-23","wt_001","WT","1"
"12",NA,NA,NA,NA,NA,NA,"3.3199326582148867","plated_03-06-23","wt_001","WT","1"
"13",NA,NA,NA,NA,NA,NA,"0.0","plated_03-06-23","wt_001","WT","1"
"14",NA,NA,NA,NA,NA,NA,"null","plated_03-06-23","wt_001","WT","1"
"15",NA,NA,NA,NA,NA,NA,"14.820002392916685","plated_03-06-23","wt_001","WT","1"
"16",NA,NA,NA,NA,NA,NA,"23.331857835990615","plated_03-06-23","wt_001","WT","1"
"17",NA,NA,NA,NA,NA,NA,"4","plated_03-06-23","wt_001","WT","1"
"18",NA,NA,NA,NA,NA,NA,"0.0","plated_03-06-23","wt_001","WT","1"
"19",NA,NA,NA,NA,NA,NA,"49.60027893880717","plated_03-06-23","wt_001","WT","1"
"20",NA,NA,NA,NA,NA,NA,"59.28000957166674","plated_03-06-23","wt_001","WT","1"
