"","path_length_microns","date","cell","condition","timepoint"
"1","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"2","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"3","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"4","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"5","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"6","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"7","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"8","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"9","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"10","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"11","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"12","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"13","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"14","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"15","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"16","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"17","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"18","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"19","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"20","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"21","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"22","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"23","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"24","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"25","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"26","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"27","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"28","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"29","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"30","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"31","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"32","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"33","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"34","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"35","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"36","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"37","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"38","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"39","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"40","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"41","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"42","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"43","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"44","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"45","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"46","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"47","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"48","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"49","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"50","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"51","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"52","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"53","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"54","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"55","Path length (5m)","plated_03-06-23","WT","wt_000","1"
