\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],No. of branch points [Single value],No. of paths [Single value],No. of primary branches [Single value],SWC Type(s),Path length (µm)
Root centroid,null,null,null,null,null,null,null,null,null,Undefined,0
Path (1) [L:21.161µm],null,null,null,null,null,null,null,null,null,Undefined,21.16142375
Path (2) [L:6.783µm],null,null,null,null,null,null,null,null,null,Undefined,6.782674358
Path (3) [L:4.461µm],null,null,null,null,null,null,null,null,null,Undefined,4.460779216
Path (4) [L:14.821µm],null,null,null,null,null,null,null,null,null,Undefined,14.82057719
Path (5) [L:11.440µm],null,null,null,null,null,null,null,null,null,Undefined,11.43986532
Path (6) [L:4.286µm],null,null,null,null,null,null,null,null,null,Undefined,4.285618083
Path (7) [L:4.373µm],null,null,null,null,null,null,null,null,null,Undefined,4.37319865
Path (8) [L:16.493µm],null,null,null,null,null,null,null,null,null,Undefined,16.49313131
Path (9) [L:9.127µm],null,null,null,null,null,null,null,null,null,Undefined,9.127445883
Path (10) [L:17.941µm],null,null,null,null,null,null,null,null,null,Undefined,17.94084656
Path (11) [L:7.118µm],null,null,null,null,null,null,null,null,null,Undefined,7.117970175
Path (12) [L:4.653µm],null,null,null,null,null,null,null,null,null,Undefined,4.653265992
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0
