 ,Label,Area,Mean,Min,Max,Perim.,Median,Ch
1,MAX_WT_008.tif:wt 008 whole-cell:1,140.889,3478.416,250,17937,219.597,2541,1
2,MAX_WT_008.tif:n1:1,48.231,3089.540,250,11936,103.582,2140,1
3,MAX_WT_008.tif:n2:1,19.431,2225.140,606,7602,51.289,1892,1
4,MAX_WT_008.tif:n3:1,17.067,3572.786,956,14997,36.192,2986,1
5,MAX_WT_008.tif:n4:1,1.387,1648.923,1064,3325,7.674,1511,1
6,MAX_WT_008.tif:soma:1,44.551,4539.419,720,17937,25.112,3195,1
7,MAX_WT_008.tif:wt 008 whole-cell:2,140.889,10512.247,291,39235,219.597,8559,2
8,MAX_WT_008.tif:n1:2,48.231,6992.594,291,32765,103.582,4489,2
9,MAX_WT_008.tif:n2:2,19.431,6540.389,463,26666,51.289,4586,2
10,MAX_WT_008.tif:n3:2,17.067,10691.467,838,39235,36.192,7698,2
11,MAX_WT_008.tif:n4:2,1.387,1895.718,679,4709,7.674,1745,2
12,MAX_WT_008.tif:soma:2,44.551,16888.154,2633,38586,25.112,14439,2
13,MAX_WT_008.tif:wt 008 whole-cell:3,140.889,1773.805,198,8021,219.597,878,3
14,MAX_WT_008.tif:n1:3,48.231,754.867,198,3429,103.582,658,3
15,MAX_WT_008.tif:n2:3,19.431,671.575,242,2333,51.289,609,3
16,MAX_WT_008.tif:n3:3,17.067,592.087,204,1745,36.192,556,3
17,MAX_WT_008.tif:n4:3,1.387,553.885,306,1276,7.674,514,3
18,MAX_WT_008.tif:soma:3,44.551,4013.677,633,8021,25.112,4022,3
19,MAX_WT_008.tif:wt 008 whole-cell:4,140.889,1118.540,188,6420,219.597,357,4
20,MAX_WT_008.tif:n1:4,48.231,300.378,188,560,103.582,291,4
21,MAX_WT_008.tif:n2:4,19.431,653.148,204,4068,51.289,312,4
22,MAX_WT_008.tif:n3:4,17.067,561.597,197,4259,36.192,333,4
23,MAX_WT_008.tif:n4:4,1.387,336.167,213,518,7.674,332,4
24,MAX_WT_008.tif:soma:4,44.551,2464.837,241,6420,25.112,2914,4
